Id,LotArea,LotShape,Utilities,LandSlope,OverallQual,OverallCond,MasVnrArea,ExterQual,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MoSold,SalePrice,TotalSF,TotalPorchSF,TotalBath,has_2ndFlrSF,has_TotalBsmtSF,has_Fireplaces,has_GarageArea,has_PoolArea,has_TotalPorchSF,build_type_1Fam,build_type_2Fam,build_type_Twnhs,AirCon,street_proximity,f_BrkTil,f_CBlock,f_PConc,sale_Partial,sale_Abnormal,is_NewHome,was_remodeled,yrs_since_built,yrs_since_remodeled,recently_built,recently_remodeled,nd_Blmngtn,nd_Blueste,nd_BrDale,nd_BrkSide,nd_ClearCr,nd_CollgCr,nd_Crawfor,nd_Edwards,nd_Gilbert,nd_IDOTRR,nd_MeadowV,nd_Mitchel,nd_NAmes,nd_NPkVill,nd_NWAmes,nd_NoRidge,nd_NridgHt,nd_OldTown,nd_SWISU,nd_Sawyer,nd_SawyerW,nd_Somerst,nd_StoneBr,nd_Timber,nd_Veenker
1,10.427529858031823,3,0,0,6,4,196,2,2,3,3,2,706,5,0,150,198.2842946789372,4,856,854,0,7.600483033991713,1,0,2,1,3,1,2,8,6,0,1,2,204.51791455830374,4,4,2,0,61,0,0,0,0,2,208500,20.729441783384022,11.124668054579043,3.5,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,5,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10.596444241317196,3,0,0,5,7,0,3,2,3,1,0,978,5,0,284,264.6011447467822,4,1262,0,0,7.284378619202983,0,1,2,0,3,1,3,6,6,1,1,2,177.329635852777,4,4,2,298,0,0,0,0,0,5,181500,20.638826130979744,23.806809236567656,2.5,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,10.807339090011077,0,0,0,6,4,162,2,2,3,2,2,486,5,0,434,209.2067864661621,4,920,866,0,7.645778558512591,1,0,2,1,3,1,2,6,6,1,1,2,222.57973325274125,4,4,2,0,42,0,0,0,0,9,223500,21.023347123120125,9.197105420820764,3.5,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,7,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10.5895182647383,0,0,0,6,4,0,3,3,1,3,0,216,5,0,540,180.77992999508868,4,961,756,0,7.604737812390022,1,0,1,0,3,1,2,7,6,1,2,3,232.66436241693455,4,4,2,0,35,272,0,0,0,2,140000,20.52719273400907,24.13576246603668,2.0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,91,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11.124528443317692,0,0,0,7,4,350,2,2,3,0,2,655,5,0,490,246.15077591754272,4,1145,1053,0,7.8621543972182275,1,0,2,1,4,1,2,9,6,1,1,3,288.4519917420266,4,4,2,192,84,0,0,0,0,12,250000,22.227135519186007,22.977765261172948,3.5,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,11.110807256745467,0,0,0,4,4,0,3,2,3,3,2,732,5,0,64,187.84985781491872,4,796,566,0,7.363668452038528,1,0,1,1,1,1,3,5,6,0,2,2,183.58894023363396,4,4,2,40,30,0,320,0,0,10,143000,19.794638068359657,26.937377208881568,2.5,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10.661736799876977,3,0,0,7,4,186,2,0,3,0,2,1369,5,0,317,328.0921226647352,4,1694,0,0,7.5906924610293975,1,0,2,0,3,1,2,7,6,1,1,2,230.8921831321961,4,4,2,255,57,0,0,0,0,8,307000,22.291343414301952,24.316113150007048,3.0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,10.700443291498038,0,0,0,6,5,240,3,2,3,2,0,859,1,32,216,240.05436106019943,4,1107,983,0,7.8096080884679475,1,0,2,1,3,1,3,7,6,2,1,2,184.83485056343181,4,4,2,235,204,228,0,0,0,11,200000,21.968215306987585,34.35157994429473,3.5,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,10.003424034598652,3,0,0,6,4,0,3,3,3,3,5,0,5,0,952,214.59346343481332,1,1022,752,0,7.638755499746789,0,0,2,0,2,2,3,8,2,2,2,2,179.83938808533645,1,4,2,90,0,205,0,0,0,4,129900,21.064356148528052,23.695886443106946,2.0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,77,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,10.256134786666575,3,0,0,4,5,0,3,3,3,3,2,851,5,0,140,221.09525059405325,4,1077,0,0,7.11967739071634,1,0,1,0,2,2,3,5,6,2,1,1,91.66063660230508,2,4,2,0,4,0,0,0,0,1,118000,19.570018356937872,2.3019241468270097,2.0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,69,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
